author,wiki,birth,death
Alan Ayckbourn,Alan_Ayckbourn,1939-04-12,
Alan Bennett,Alan_Bennett,1934-05-09,
Andrew Motion,Andrew_Motion,1952-10-26,
Arnold Schoenberg,Arnold_Schoenberg,1874-09-13,1951-07-13
Barbara Kingsolver,Barbara_Kingsolver,1955-04-08,
Benjamin Britten,Benjamin_Britten,1913-11-22,1976-12-04
Billy Bragg,Billy_Bragg,1957-12-20,
Brian Friel,Brian_Friel,1929-01-09,2015-10-02
C. S. Lewis,C._S._Lewis,1898-11-29,1963-11-22
Carol Ann Duffy,Carol_Ann_Duffy,1955-12-23,
Celia Fremlin,Celia_Fremlin,1914-06-20,2009-06-16
Charlie Brooker,Charlie_Brooker,1971-03-03,
Christopher Nolan,Christopher_Nolan,1970-07-30,
David Byrne,David_Byrne,1952-05-14,
David Hare,David_Hare,1947-06-05,
David Mitchell,David_Mitchell,1974-07-14,
Derek Walcott,Derek_Walcott,1930-01-23,2017-03-17
Djuna Barnes,Djuna_Barnes,1892-06-12,1982-06-18
Edna O'Brien,Edna_O'Brien,1930-12-15,
Edward Lear,Edward_Lear,1812-05-12,1888-01-29
Emily Dickinson,Emily_Dickinson,1830-12-10,
Ezra Pound,Ezra_Pound,1885-10-30,1972-11-01
Flannery O'Connor,Flannery_O'Connor,1925-03-25,1964-08-03
Francis Ford Coppola,Francis_Ford_Coppola,1939-04-07,
Geoffrey Faber,Geoffrey_Faber,1889-08-23,1961-03-31
Gerald Durrell,Gerald_Durrell,1925-01-05,1995-01-30
Hanif Kureishi,Hanif_Kureishi,1954-12-05,
Hannah Arendt,Hannah_Arendt,1906-10-14,1975-12-04
Harold Pinter,Harold_Pinter,1930-10-10,2008-12-24
Hermione Lee,Hermione_Lee,1948-02-29,
James Joyce,James_Joyce,1882-02-02,1941-01-13
Jan Morris,Jan_Morris,1926-10-02,2020-11-20
John Betjeman,John_Betjeman,1906-08-28,1984-05-19
John McGahern,John_McGahern,1934-11-12,2006-03-30
John Osborne,John_Osborne,1929-12-12,1994-12-24
Jon Savage,Jon_Savage,1953-09-02,
Kazuo Ishiguro,Kazuo_Ishiguro,1954-11-08,
Lawrence Durrell,Lawrence_Durrell,1912-02-27,1990-11-07
Leonard Bernstein,Leonard_Bernstein,1918-08-25,1990-10-14
Lorrie Moore,Lorrie_Moore,1957-01-13,
Lou Reed,Lou_Reed,1942-03-02,2013-10-27
Louis MacNeice,Louis_MacNeice,1907-09-12,1963-09-03
Margaret Storey,Margaret_Storey,1926-06-27,2022-09-28
Marianne Moore,Marianne_Moore,1887-11-15,1972-02-05
Marilynne Robinson,Marilynne_Robinson,1943-11-26,
Mario Vargas Llosa,Mario_Vargas_Llosa,1936-03-28,
Martin Scorsese,Martin_Scorsese,1942-11-17,
Michael Frayn,Michael_Frayn,1933-09-08,
Milan Kundera,Milan_Kundera,1929-04-01,2023-07-11
Orhan Pamuk,Orhan_Pamuk,1952-06-07,
P. D. James,P._D._James,1920-08-03,2014-11-27
Paul Auster,Paul_Auster,1947-02-03,2024-04-30
Paul Muldoon,Paul_Muldoon,1951-06-20,
Peter Carey,Peter_Carey,1943-05-07,
Philip Glass,Philip_Glass,1937-01-31,
Philip Larkin,Philip_Larkin,1922-08-09,1985-12-02
QI,QI,2003-09-11,
Quentin Tarantino,Quentin_Tarantino,1963-03-27,
Robert Graves,Robert_Graves,1895-07-24,1985-12-07
Robert Lowell,Robert_Lowell,1917-03-01,1977-09-12
Rohinton Mistry,Rohinton_Mistry,1952-07-03,
Sally Rooney,Sally_Rooney,1991-02-20,
Samuel Beckett,Samuel_Beckett,1906-04-13,1989-12-22
Seamus Heaney,Seamus_Heaney,1939-04-13,2013-08-30
Sebastian Barry,Sebastian_Barry,1955-07-05,
Siegfried Sassoon,Siegfried_Sassoon,1886-09-08,1967-09-01
Simon Armitage,Simon_Armitage,1963-05-26,
Stephen Spender,Stephen_Spender,1909-02-28,1995-07-16
Sylvia Plath,Sylvia_Plath,1932-10-27,1963-02-11
T. S. Eliot,T._S._Eliot,1888-09-26,1965-01-04
Ted Hughes,Ted_Hughes,1930-08-17,1998-10-28
Thom Gunn,Thom_Gunn,1929-08-29,2004-04-25
Tom Stoppard,Tom_Stoppard,1937-07-03,
Tony Harrison,Tony_Harrison,1937-04-30,
W. H. Auden,W._H._Auden,1907-02-21,1973-09-29
Walter de la Mare,Walter_de_la_Mare,1873-04-25,1956-06-22
Wendy Cope,Wendy_Cope,1945-07-21,
Wes Anderson,Wes_Anderson,1969-05-01,
William Golding,William_Golding,1911-09-19,1993-06-19
Wim Wenders,Wim_Wenders,1945-08-14,
Wyndham Lewis,Wyndham_Lewis,1882-11-18,1957-03-07
